Timestamp,Model,GoalCoordsOn,Won,StoppedByUser,MaxMoves,TooManyRevisits,Error,TotalMoves,SuccessfulMoves,WallCollisions,UniquePositions,Backtracks,BacktrackRate,TotalTokens,CostUSD
2026-01-04_204200_l,Llama 4 Scout,unknown,False,True,False,False,False,26,26,0,4,22,84.6,34748,0.0052
2026-01-04_214508_l,Llama 4 Scout,unknown,False,True,False,False,False,22,22,0,6,16,72.7,22228,0.0021
2026-01-04_215705_l,Llama 4 Scout,unknown,False,True,False,False,False,29,29,0,4,25,86.2,38220,0.0041
2026-01-04_215745_l,Llama 4 Scout,unknown,False,True,False,False,False,49,48,1,15,33,67.3,309174,0.0318
2026-01-05_011247_g,Gemini 2.0 Flash,unknown,False,True,False,False,False,6,6,0,2,4,66.7,1749,0.0002
2026-01-05_013555_l,Llama 4 Scout,unknown,False,True,False,False,False,52,14,38,8,6,11.5,27002,0.0033
2026-01-05_014718_l,Llama 4 Scout,unknown,False,True,False,False,False,65,39,26,19,20,30.8,53745,0.0058
2026-01-05_014844_l,Llama 4 Scout,unknown,False,True,False,False,False,14,3,11,3,0,0.0,2719,0.0003
2026-01-05_015916_l,Llama 4 Scout,unknown,False,True,False,False,False,24,18,6,6,12,50.0,12140,0.0013
2026-01-05_023032_l,Llama 4 Scout,unknown,False,True,False,False,False,18,18,0,14,4,22.2,16739,0.0033
2026-01-05_023151_c,Claude Haiku 4.5,unknown,False,True,False,False,False,23,23,0,14,9,39.1,25186,0.0545
2026-01-05_172631_l,Llama 4 Scout,unknown,False,True,False,False,False,4,4,0,4,0,0.0,1867,0.0004
2026-01-05_182824_c,Claude Haiku 4.5,unknown,False,True,False,False,False,11,11,0,5,6,54.5,12052,0.0135
2026-01-05_195526_l,Llama 4 Scout,unknown,False,True,False,False,False,12,12,0,5,7,58.3,12987,0.0019
2026-01-06_034314_l,Llama 4 Scout,unknown,False,True,False,False,False,19,19,0,6,13,68.4,24656,0.0035
2026-01-06_040202_c,Claude Haiku 4.5,unknown,False,True,False,False,False,13,13,0,5,8,61.5,15091,0.0168
2026-01-06_041429_c,Claude Haiku 4.5,unknown,False,True,False,False,False,14,14,0,5,9,64.3,16416,0.0183
2026-01-06_042552_c,Claude Haiku 4.5,unknown,False,False,False,False,True,0,0,0,0,0,0.0,0,0.0000
2026-01-06_043101_c,Claude Haiku 4.5,unknown,False,True,False,False,False,16,16,0,5,11,68.8,19137,0.0212
2026-01-06_043243_g,GPT-4o Mini,unknown,False,True,False,False,False,20,20,0,5,15,75.0,11364,0.0017
2026-01-06_043642_c,Claude Sonnet 3.7 (Thinking),unknown,False,True,False,False,False,17,17,0,6,11,64.7,15807,0.0542
2026-01-06_045634_c,Claude Sonnet 3.7 (Thinking),True,False,False,False,True,False,37,37,0,15,22,59.5,45607,0.1515
2026-01-06_045730_o,O3 Mini,True,False,True,False,False,False,3,3,0,2,1,33.3,2770,0.0089
2026-01-06_050104_c,Claude Sonnet 3.7 (Thinking),True,False,True,False,False,False,29,29,0,12,17,58.6,28249,0.0962
2026-01-06_051430_c,Claude Haiku 4.5,True,False,True,False,False,False,36,36,0,16,20,55.6,62537,0.1373
2026-01-06_051809_c,Claude Sonnet 3.7 (Thinking),True,False,True,False,False,False,18,18,0,15,3,16.7,24339,0.1842
2026-01-06_052500_l,Llama 4 Scout,True,False,False,False,True,False,36,35,1,15,20,55.6,50572,0.0080
2026-01-06_052755_c,Claude Haiku 4.5,True,False,True,False,False,False,5,5,0,5,0,0.0,6366,0.0138
2026-01-09_032211_l,Llama 4 Scout,True,False,True,False,False,False,36,28,8,13,15,41.7,60958,0.0091
2026-01-12_224008_c,Claude Haiku 4.5,True,False,True,False,False,False,18,18,0,14,4,22.2,26238,0.0586
2026-01-12_224817_c,Claude Haiku 4.5,True,False,True,False,False,False,17,17,0,14,3,17.6,24811,0.0555
2026-01-13_015958_c,Claude Sonnet 4.5,True,False,False,False,False,True,0,0,0,0,0,0.0,0,0.0000
2026-01-13_021011_c,Claude Sonnet 4.5,True,False,True,False,False,False,31,31,0,15,16,51.6,50642,0.3271
2026-01-13_021728_g,Gemini 2.5 Flash,True,False,True,False,False,False,19,19,0,13,6,31.6,17100,0.0248
